protein_id,chain,class
7PRI,AAA,K+3(1)
8AXZ,A,K+3(1)
7PLF,AAA,K+3(1)
7NH8,AAA,K+3(1)
7NG1,A,K+3(1)
7LNH,A,K+3(1)
7EDC,A,K+3(1)
7E3T,A,K+3(1)
7E3S,A,K+3(1)
7E3R,A,K+3(1)
7E3Q,A,K+3(1)
5NFJ,A,K+3(1)
7LOO,A,K+3(1)
7D51,A,K+3(1)
7CWW,A,K+3(1)
7ONU,F,K+3(1)
7MU3,A,K+3(1)
7OCK,B,K+3(1)
6ZR9,A,K+3(1)
7MYS,A,K+3(1)
7MYQ,A,K+3(1)
6JKI,A,K+3(1)
6JOF,A,K+3(1)
6JOE,A,K+3(1)
6QOW,A,K+3(1)
6QRB,A,K+3(1)
6QOE,A,K+3(1)
6QQY,A,K+3(1)
6NW7,A,K+3(1)
6RRG,A,K+3(1)
2FG7,C,K+3(1)
1IPA,A,K+3(1)
6YJ3,A,K+3(1)
6YOK,A,K+3(1)
6Y74,A,K+3(1)
6YMA,A,K+3(1)
6KM1,A,K+3(1)
6KM2,A,K+3(1)
6KM3,A,K+3(1)
6KM5,A,K+3(1)
6WQ7,A,K+3(1)
6OTM,A,K+3(1)
6OTI,A,K+3(1)
6OUE,A,K+3(1)
6RG4,A,K+3(1)
6RHJ,A,K+3(1)
6ROF,A,K+3(1)
6UX1,A,K+3(1)
6R6Y,A,K+3(1)
6VJ3,A,K+3(1)
6UGN,A,K+3(1)
6QNG,A,K+3(1)
6QNL,A,K+3(1)
6QN5,A,K+3(1)
6I0J,A,K+3(1)
6I0W,A,K+3(1)
6QQM,A,K+3(1)
6HR3,A,K+3(1)
6NJ4,A,K+3(1)
6NJ5,A,K+3(1)
6NJ2,A,K+3(1)
6UEV,A,K+3(1)
6QL3,A,K+3(1)
6QRF,A,K+3(1)
6QRD,A,K+3(1)
6QRC,A,K+3(1)
6QQQ,A,K+3(1)
6QRA,A,K+3(1)
6QQR,A,K+3(1)
