Protein_Class,Protein_ID,H1_count,H1_mean,H1_median,H1_max,H1_sum,H1_std,Curv_mean,Curv_median,Curv_max,Curv_min,Curv_std,Curv_sum,Curv_n_positive,Curv_n_negative,Curv_n_zero,HG_n_nodes,HG_n_hyperedges,HG_avg_edge_size,HG_max_edge_size,HG_connectivity,HG_density,Curv_n_outliers_removed,Pers_n_outliers_removed
AOTCases,1JS1_X,193.0,0.5384702641267441,0.3783532904575857,2.055392272089499,103.92476097646163,0.43654988943658246,-21.612565445026178,-20.0,-3.0,-55.0,10.563527552901077,-4128.0,0.0,191.0,0.0,317.0,215.0,7.767441860465116,107.0,0.6782334384858044,0.004292616699277243,24,22
AOTCases,2FG6_C,203.0,0.5342121178957424,0.3608543624174585,2.190235304965676,108.4450599328357,0.4720468730206945,-22.123152709359605,-19.0,-3.0,-62.0,12.234152548607165,-4491.0,0.0,203.0,0.0,321.0,224.0,7.638392857142857,87.0,0.6978193146417445,0.004361370716510903,21,21
AOTCases,2G7M_C,198.0,0.5584944500522024,0.38552021895476685,2.1203284462535175,110.58190111033608,0.4571278937216572,-21.852040816326532,-20.0,-3.0,-60.0,11.104951364803926,-4283.0,0.0,196.0,0.0,320.0,218.0,8.087155963302752,162.0,0.68125,0.004271159874608151,22,20
AOTCases,3KZM_A,218.0,0.4969998540583808,0.35547125668874324,1.9064981330480792,108.34596818472701,0.3965424964896248,-22.616438356164384,-20.0,-3.0,-60.0,10.886248881591559,-4953.0,0.0,219.0,0.0,330.0,241.0,7.6970954356846475,82.0,0.7303030303030303,0.004439532099106567,22,23
AOTCases,2FG7_C,201.0,0.5475963808634717,0.3941420974065366,2.1559241583411355,110.06687255355783,0.4619656486262672,-23.653465346534652,-19.0,-3.0,-69.0,14.218893889361365,-4778.0,0.0,202.0,0.0,320.0,221.0,7.963800904977376,89.0,0.690625,0.004329937304075235,19,20
AOTCases,3KZC_A,206.0,0.5378034752452904,0.3975388529062207,1.9532106336569983,110.78751590052983,0.40110988400655084,-20.774509803921568,-19.0,3.0,-54.0,10.173887049740834,-4238.0,1.0,203.0,0.0,326.0,227.0,7.361233480176211,71.0,0.696319018404908,0.004285040113260972,23,21
AOTCases,3KZN_A,214.0,0.49933949457426546,0.3633604783968676,1.750225445008188,106.85865183889281,0.3908362146855238,-21.77777777777778,-20.0,-2.0,-57.0,10.33900680570407,-4704.0,0.0,216.0,0.0,331.0,237.0,7.4978902953586495,73.0,0.716012084592145,0.004339467179346333,21,23
AOTCases,3L04_A,217.0,0.49640982064039707,0.34930603675242455,1.8966981424556275,107.72093107896616,0.3994027698624625,-21.313084112149532,-19.0,-4.0,-56.0,10.679271424203227,-4561.0,0.0,214.0,0.0,331.0,240.0,7.4875,82.0,0.7250755287009063,0.004394397143641857,26,23
AOTCases,3KZO_A,220.0,0.49175440575219914,0.34591050123331435,1.9454833482239877,108.1859692654838,0.39735487917999035,-21.95852534562212,-20.0,-2.0,-61.0,10.556983127592373,-4765.0,0.0,217.0,0.0,331.0,243.0,7.6460905349794235,82.0,0.7341389728096677,0.00444932710793738,26,23
AOTCases,3L05_A,209.0,0.5124825711922976,0.3587965793839576,1.819399700877148,107.1088573791902,0.405200979231662,-23.180094786729857,-20.0,-3.0,-64.0,12.80091014205432,-4891.0,0.0,211.0,0.0,331.0,232.0,7.931034482758621,77.0,0.7009063444108762,0.004247917238853795,21,23
