Protein_Class,Protein_ID,H1_count,H1_mean,H1_median,H1_max,H1_sum,H1_std,Curv_mean,Curv_median,Curv_max,Curv_min,Curv_std,Curv_sum,Curv_n_positive,Curv_n_negative,Curv_n_zero,HG_n_nodes,HG_n_hyperedges,HG_avg_edge_size,HG_max_edge_size,HG_connectivity,HG_density
AOTCases,1JS1_X,215.0,0.8543638274436431,0.41821726735472353,6.130259562574536,183.68822290038327,1.0682390556809382,-36.353488372093025,-22.0,-3.0,-406.0,52.308260492375744,-7816.0,0.0,215.0,0.0,317.0,215.0,7.767441860465116,107.0,0.6782334384858044,0.004292616699277243
AOTCases,2FG6_C,224.0,0.8414583524363481,0.4294363040605762,6.65546092072542,188.486670945742,1.0985265315226298,-35.70982142857143,-20.0,-3.0,-398.0,52.71614258700864,-7999.0,0.0,224.0,0.0,321.0,224.0,7.638392857142857,87.0,0.6978193146417445,0.004361370716510903
AOTCases,2G7M_C,218.0,0.8584416476631745,0.43998404088249066,6.462574957417285,187.14027919057204,1.07864015870678,-38.62844036697248,-21.0,-3.0,-730.0,69.70030549173325,-8421.0,0.0,218.0,0.0,320.0,218.0,8.087155963302752,162.0,0.68125,0.004271159874608151
AOTCases,3KZM_A,241.0,0.7971951348596422,0.41711907234065215,5.304840509406998,192.12402750117377,1.042461508212753,-38.60995850622407,-21.0,-3.0,-481.0,64.41035895461364,-9305.0,0.0,241.0,0.0,330.0,241.0,7.6970954356846475,82.0,0.7303030303030303,0.004439532099106567
AOTCases,2FG7_C,221.0,0.8461715839900491,0.4378979564155596,6.845955841402488,187.00392006180084,1.0873503774101194,-41.46606334841629,-21.0,-3.0,-520.0,70.70616642468765,-9164.0,0.0,221.0,0.0,320.0,221.0,7.963800904977376,89.0,0.690625,0.004329937304075235
AOTCases,3KZC_A,227.0,0.8223580611659448,0.4465374925798873,4.97845973422433,186.67527988466946,0.9986534015562196,-34.31277533039648,-20.0,3.0,-371.0,50.48656614407449,-7789.0,1.0,226.0,0.0,326.0,227.0,7.361233480176211,71.0,0.696319018404908,0.004285040113260972
AOTCases,3KZN_A,237.0,0.8100613636700341,0.4040711651790794,5.913620079901077,191.98454318979807,1.0691844759144293,-35.118143459915615,-22.0,-2.0,-373.0,51.79791517818477,-8323.0,0.0,237.0,0.0,331.0,237.0,7.4978902953586495,73.0,0.716012084592145,0.004339467179346333
AOTCases,3L04_A,240.0,0.8008066984685828,0.3995897753681885,5.426486361506109,192.19360763245987,1.053102799709206,-35.729166666666664,-21.0,-4.0,-424.0,54.15838638634115,-8575.0,0.0,240.0,0.0,331.0,240.0,7.4875,82.0,0.7250755287009063,0.004394397143641857
AOTCases,3KZO_A,243.0,0.7930392415355594,0.395284728315179,5.474073135988569,192.70853569314093,1.0495433320534515,-38.89711934156379,-21.0,-2.0,-482.0,63.01088899245512,-9452.0,0.0,243.0,0.0,331.0,243.0,7.6460905349794235,82.0,0.7341389728096677,0.00444932710793738
AOTCases,3L05_A,232.0,0.8222447058398156,0.41548224007229306,5.3115837126307115,190.7607717548372,1.0541741074803956,-39.577586206896555,-21.0,-3.0,-445.0,64.71604433348504,-9182.0,0.0,232.0,0.0,331.0,232.0,7.931034482758621,77.0,0.7009063444108762,0.004247917238853795
